"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100A9",0,5.03423670663201,1,0.694,0,"CD14 Mono","S100A9"
"S100A8",0,4.92236876230043,0.996,0.505,0,"CD14 Mono","S100A8"
"LYZ",0,4.31185047811624,1,0.687,0,"CD14 Mono","LYZ"
"VCAN",0,3.77938404590183,0.987,0.198,0,"CD14 Mono","VCAN"
"IL1B",0,3.4538344225557,0.581,0.255,0,"CD14 Mono","IL1B"
"FOS",0,3.33119068645508,0.963,0.42,0,"CD14 Mono","FOS"
"G0S2",0,3.25230537270679,0.637,0.211,0,"CD14 Mono","G0S2"
"FCN1",0,3.17004268022427,0.999,0.267,0,"CD14 Mono","FCN1"
"S100A12",0,2.96722434458622,0.919,0.098,0,"CD14 Mono","S100A12"
"CCL3",0,2.91641635889539,0.543,0.222,0,"CD14 Mono","CCL3"
"CTSS",0,2.91627011279271,1,0.689,0,"CD14 Mono","CTSS"
"NFKBIA",0,2.91054804112655,0.928,0.627,0,"CD14 Mono","NFKBIA"
"MNDA",0,2.91042538351774,0.994,0.216,0,"CD14 Mono","MNDA"
"CXCL8",0,2.76743921358645,0.519,0.101,0,"CD14 Mono","CXCL8"
"CD14",0,2.70505982944527,0.975,0.09,0,"CD14 Mono","CD14"
"NEAT1",0,2.67431051525948,1,0.894,0,"CD14 Mono","NEAT1"
"NAMPT",0,2.51202971370895,0.929,0.247,0,"CD14 Mono","NAMPT"
"TNFAIP2",0,2.41869941174962,0.942,0.157,0,"CD14 Mono","TNFAIP2"
"CEBPD",0,2.38196042835133,0.954,0.228,0,"CD14 Mono","CEBPD"
"SAT1",0,2.29089610141697,0.998,0.675,0,"CD14 Mono","SAT1"
"SOD2",0,2.21610986585605,0.826,0.286,0,"CD14 Mono","SOD2"
"DUSP1",0,2.21096104785382,0.989,0.535,0,"CD14 Mono","DUSP1"
"CYBB",0,2.18502677404309,0.983,0.213,0,"CD14 Mono","CYBB"
"PSAP",0,2.18086710259888,0.999,0.504,0,"CD14 Mono","PSAP"
"CST3",0,2.16796949896009,1,0.367,0,"CD14 Mono","CST3"
"MS4A6A",0,2.15266866683937,0.96,0.098,0,"CD14 Mono","MS4A6A"
"FGL2",0,2.15233688243992,0.985,0.221,0,"CD14 Mono","FGL2"
"APLP2",0,2.15077663977409,0.986,0.357,0,"CD14 Mono","APLP2"
"FTL",0,2.14875848939662,1,0.998,0,"CD14 Mono","FTL"
"AC020656.1",0,2.14431837773242,0.814,0.102,0,"CD14 Mono","AC020656.1"
"GRN",0,2.1416020614576,0.985,0.229,0,"CD14 Mono","GRN"
"TYROBP",0,2.14158806798075,1,0.457,0,"CD14 Mono","TYROBP"
"TYMP",0,2.11544896711754,0.988,0.294,0,"CD14 Mono","TYMP"
"CSF3R",0,2.09714649241503,0.937,0.089,0,"CD14 Mono","CSF3R"
"SRGN",0,2.04949012050777,1,0.763,0,"CD14 Mono","SRGN"
"IER3",0,2.04428988954815,0.759,0.102,0,"CD14 Mono","IER3"
"FTH1",0,2.03757384971197,1,0.997,0,"CD14 Mono","FTH1"
"TKT",0,2.03248305306594,0.993,0.489,0,"CD14 Mono","TKT"
"MARCKS",0,2.00697111129609,0.82,0.201,0,"CD14 Mono","MARCKS"
"ATP2B1-AS1",0,1.98425486111465,0.868,0.202,0,"CD14 Mono","ATP2B1-AS1"
"CSTA",0,1.96992488912313,0.955,0.122,0,"CD14 Mono","CSTA"
"AP1S2",0,1.96879651964538,0.98,0.352,0,"CD14 Mono","AP1S2"
"AIF1",0,1.91211973206355,0.999,0.437,0,"CD14 Mono","AIF1"
"S100A6",0,1.90351745485238,1,0.959,0,"CD14 Mono","S100A6"
"IER2",0,1.90122655743811,0.965,0.624,0,"CD14 Mono","IER2"
"NFKBIZ",0,1.8907813908329,0.807,0.368,0,"CD14 Mono","NFKBIZ"
"TSPO",0,1.87164670047146,0.998,0.647,0,"CD14 Mono","TSPO"
"MPEG1",0,1.85582268862048,0.948,0.135,0,"CD14 Mono","MPEG1"
"SERPINA1",0,1.84046881730755,0.971,0.13,0,"CD14 Mono","SERPINA1"
"S100A11",0,1.82644634013973,1,0.697,0,"CD14 Mono","S100A11"
"NCF2",0,1.80626779231501,0.944,0.136,0,"CD14 Mono","NCF2"
"RGS2",0,1.79683116880492,0.782,0.216,0,"CD14 Mono","RGS2"
"ZFP36",0,1.77548007065841,0.955,0.525,0,"CD14 Mono","ZFP36"
"CD36",0,1.75714775259624,0.874,0.07,0,"CD14 Mono","CD36"
"BRI3",0,1.75442096818364,0.99,0.47,0,"CD14 Mono","BRI3"
"CLEC7A",0,1.7045839753098,0.924,0.118,0,"CD14 Mono","CLEC7A"
"PPP1R15A",0,1.68335590057244,0.767,0.269,0,"CD14 Mono","PPP1R15A"
"CPVL",0,1.67424959469568,0.889,0.106,0,"CD14 Mono","CPVL"
"CEBPB",0,1.66984379043279,0.97,0.457,0,"CD14 Mono","CEBPB"
"LGALS2",0,1.66670206252581,0.716,0.077,0,"CD14 Mono","LGALS2"
"PLAUR",0,1.64696019183175,0.751,0.082,0,"CD14 Mono","PLAUR"
"CFD",0,1.61225351263454,0.953,0.159,0,"CD14 Mono","CFD"
"CLEC12A",0,1.61153459509972,0.885,0.106,0,"CD14 Mono","CLEC12A"
"SLC11A1",0,1.61124700839915,0.846,0.091,0,"CD14 Mono","SLC11A1"
"NLRP3",0,1.60830373397154,0.648,0.065,0,"CD14 Mono","NLRP3"
"NCF1",0,1.60783972081617,0.866,0.292,0,"CD14 Mono","NCF1"
"BCL2A1",0,1.58360538052953,0.676,0.192,0,"CD14 Mono","BCL2A1"
"PLBD1",0,1.5764913781669,0.797,0.065,0,"CD14 Mono","PLBD1"
"LGALS3",0,1.56647499481563,0.918,0.217,0,"CD14 Mono","LGALS3"
"FCGRT",0,1.55292129623177,0.947,0.244,0,"CD14 Mono","FCGRT"
"SPI1",0,1.55097573542849,0.944,0.169,0,"CD14 Mono","SPI1"
"FPR1",0,1.55023584742811,0.807,0.054,0,"CD14 Mono","FPR1"
"EGR1",0,1.5409983756799,0.567,0.062,0,"CD14 Mono","EGR1"
"COTL1",0,1.52543070473361,0.999,0.585,0,"CD14 Mono","COTL1"
"LGALS1",0,1.52381672242135,0.989,0.528,0,"CD14 Mono","LGALS1"
"IGSF6",0,1.51674451415981,0.868,0.116,0,"CD14 Mono","IGSF6"
"KCTD12",0,1.49778931956513,0.822,0.077,0,"CD14 Mono","KCTD12"
"MAFB",0,1.49620674168486,0.642,0.082,0,"CD14 Mono","MAFB"
"TNFSF13B",0,1.49325431211276,0.874,0.13,0,"CD14 Mono","TNFSF13B"
"LST1",0,1.48571660346267,0.997,0.349,0,"CD14 Mono","LST1"
"CD68",0,1.4830084170573,0.907,0.127,0,"CD14 Mono","CD68"
"C5AR1",0,1.47890037804615,0.746,0.076,0,"CD14 Mono","C5AR1"
"VMP1",0,1.47521493521673,0.878,0.292,0,"CD14 Mono","VMP1"
"MCL1",0,1.47338619865593,0.943,0.547,0,"CD14 Mono","MCL1"
"RNF130",0,1.47064702410231,0.922,0.2,0,"CD14 Mono","RNF130"
"DMXL2",0,1.46430837736484,0.812,0.077,0,"CD14 Mono","DMXL2"
"ZEB2",0,1.46156093741443,0.959,0.403,0,"CD14 Mono","ZEB2"
"PLEK",0,1.4600300152281,0.881,0.464,0,"CD14 Mono","PLEK"
"TALDO1",0,1.45526959801684,0.956,0.428,0,"CD14 Mono","TALDO1"
"S100A4",0,1.44987672650106,1,0.925,0,"CD14 Mono","S100A4"
"PTPRE",0,1.43796115449354,0.886,0.26,0,"CD14 Mono","PTPRE"
"TNFAIP3",0,1.43779630310761,0.619,0.433,0,"CD14 Mono","TNFAIP3"
"ASAH1",0,1.4219764885927,0.949,0.338,0,"CD14 Mono","ASAH1"
"BLVRB",0,1.41904108035902,0.868,0.147,0,"CD14 Mono","BLVRB"
"SGK1",0,1.418440272946,0.601,0.057,0,"CD14 Mono","SGK1"
"ZFP36L1",0,1.40907386413683,0.883,0.55,0,"CD14 Mono","ZFP36L1"
"CTSD",0,1.40611340513412,0.923,0.358,0,"CD14 Mono","CTSD"
"VIM",0,1.40534425232644,0.999,0.954,0,"CD14 Mono","VIM"
"CD93",0,1.40510392325187,0.774,0.042,0,"CD14 Mono","CD93"
"FCER1G",0,1.40280198318444,0.993,0.337,0,"CD14 Mono","FCER1G"
"CTSB",0,1.39194904615369,0.886,0.201,0,"CD14 Mono","CTSB"
"GSTP1",0,1.37135074270745,0.983,0.593,0,"CD14 Mono","GSTP1"
"CFP",0,1.36822257039178,0.871,0.125,0,"CD14 Mono","CFP"
"APOBEC3A",0,1.35360396888483,0.601,0.072,0,"CD14 Mono","APOBEC3A"
"IRAK3",0,1.34435719873369,0.798,0.078,0,"CD14 Mono","IRAK3"
"LRP1",0,1.3437875829789,0.817,0.062,0,"CD14 Mono","LRP1"
"KLF10",0,1.33401186602191,0.796,0.144,0,"CD14 Mono","KLF10"
"LRRK2",0,1.33364322457162,0.75,0.081,0,"CD14 Mono","LRRK2"
"JAML",0,1.33224323601486,0.892,0.237,0,"CD14 Mono","JAML"
"ANXA5",0,1.32845032333614,0.949,0.39,0,"CD14 Mono","ANXA5"
"SDCBP",0,1.32170241172118,0.931,0.386,0,"CD14 Mono","SDCBP"
"TNFRSF1B",0,1.31091211457895,0.94,0.363,0,"CD14 Mono","TNFRSF1B"
"CD300E",0,1.29807710066845,0.723,0.076,0,"CD14 Mono","CD300E"
"NINJ1",0,1.29502066665555,0.749,0.177,0,"CD14 Mono","NINJ1"
"VSIR",0,1.29144895209098,0.94,0.368,0,"CD14 Mono","VSIR"
"GCA",0,1.2905277631017,0.801,0.128,0,"CD14 Mono","GCA"
"CD83",0,1.28207717747923,0.561,0.128,0,"CD14 Mono","CD83"
"ALDH2",0,1.28207606210008,0.799,0.078,0,"CD14 Mono","ALDH2"
"CD302",0,1.28178862104257,0.802,0.079,0,"CD14 Mono","CD302"
"LILRB2",0,1.25703203118098,0.832,0.098,0,"CD14 Mono","LILRB2"
"IFI30",0,1.25673503600883,0.628,0.086,0,"CD14 Mono","IFI30"
"TGFBI",0,1.25382621184398,0.79,0.077,0,"CD14 Mono","TGFBI"
